site,year,individual,x_coordinate,y_coordinate,diameter_1,diameter_2,length,snag_fallen,notes,decomposition_class,taxonomic_id
Pennyweight,2018,1,0.8,0.43,5.2,5.8,128,d,,3,EUCU
Pennyweight,2018,2,2.1,0.17,5.2,6.1,53,d,,3,EUCU
Pennyweight,2018,3,4.3,2.15,11.2,5,565,d,branched from EUCU,2,EUCU
Pennyweight,2018,4,6.55,2.85,5,6,269,d,,,EUCU
Pennyweight,2018,5,7.7,0.9,5,7,117,d,,3,
Pennyweight,2018,6,9.45,5.4,8.8,5,213,d,,2,EUCALYPTUS_CULLENII
Pennyweight,2018,7,7.15,8.9,7.7,5,142,s,,3,
Pennyweight,2018,8,13.12,9.55,7.2,5,28,d,,3,
Pennyweight,2018,9,12.38,6.19,5.4,5,52,d,,2,EUCALYPTUS_CULLENII
Pennyweight,2018,10,0.5,9.78,145,12.1,375,s,,3,
Pennyweight,2018,11,14,8.78,9.4,7,142,s,,3,
Pennyweight,2018,12,17.45,3.2,8,5.5,280,s,,3,MELALEUCA
Pennyweight,2018,13,18.45,0.75,13.4,8,191,d,over the 10 m string,3,
Pennyweight,2018,14,22.82,2.7,18,12.5,600,S,length is approximate,2,MELALEUCA
Pennyweight,2018,15,25.55,1.2,8.4,7.4,83,s,,3,
Pennyweight,2018,16,25.6,0.1,6.1,7.2,85,d,,3,
Pennyweight,2018,17,26.2,2.65,7,8.7,105,d,,3,MELALEUCA
Pennyweight,2018,18,23.7,6.85,6.5,6.8,100,d,,4,
Pennyweight,2018,19,28.2,4.1,11,5,353,d,,3,
Pennyweight,2018,20,29.1,0.69,12.8,9.6,350,s,,3,
Pennyweight,2018,21,31.8,1.58,10.8,8,450,s,,3,
Pennyweight,2018,22,33.8,0.3,7.2,5.2,115,d,,3,
Pennyweight,2018,23,34.65,0.22,6,5.9,73,d,,3,
Pennyweight,2018,24,36.9,2.25,9.9,8.3,500,s,length is approximate; split part of same tree,3,
Pennyweight,2018,24,36.9,2.25,10.2,7.9,350,s,length is approximate; split part of same tree,3,
Pennyweight,2018,25,37.7,0.3,12.2,9,118,,missing information on snag or fallen category; missing information on decomposition category,,
Pennyweight,2018,26,38.2,1.45,6.8,5,144,s,,3,MELALEUCA
Pennyweight,2018,27,38.55,6.5,8.2,6.2,400,s,length is approximate; marked as 2-3 decompositon stage when surveyed in 2018,2,MELALEUCA
Pennyweight,2018,28,38.2,6.26,8.5,5,220,s,,3,
Pennyweight,2018,29,36,92.06,8.6,6.6,89,s,,3,
Pennyweight,2018,30,21.89,90.15,10.5,5,143,s,,3,
Pennyweight,2018,31,15,93.81,9.5,7.7,310,s,length is approximate,3,MELALEUCA
Pennyweight,2018,32,4.2,92.56,8.1,5.2,180,d,,4,
Pennyweight,2018,33,1.25,90.84,17,14,64,d,flat diameter,4,
Pennyweight,2018,34,17.35,97.59,14.3,6.4,213,s,,3,
Pennyweight,2018,35,41.36,99.52,5.9,5.3,80,d,,3,MELALEUCA
Pennyweight,2018,36,30.04,15.54,6.5,7.1,257,d,,3,
Pennyweight,2018,37,13.12,9.55,20.2,21,,s,diameter 2 taken @ ~52 cm above ground; missing 2018 length measurement,2,
Pennyweight,2018,38,31.03,10.3,7.6,11.3,400,s,length is approximate,3,MELALEUCA
Pennyweight,2018,39,43.93,11.97,5.5,10.7,350,s,length is approximate,3,MELALEUCA
Pennyweight,2018,40,44.65,18.12,7.6,6.2,108,d,,3,
Pennyweight,2018,41,48.53,13.91,8.5,6.3,300,s,length is approximate,3,MELALEUCA
Pennyweight,2018,42,9.95,21.63,5.4,7.2,145,s,termite runways inside,4,
Pennyweight,2018,43,12.15,26.1,5.6,12.7,317,d,,3,EUCALYPTUS_CULLENII
Pennyweight,2018,44,13.19,25.18,6.6,5,121,d,flat diameter,3,EUCALYPTUS_CULLENII
Pennyweight,2018,45,13.55,25.8,15,22.7,135,s,,3,EUCALYPTUS_CULLENII
Pennyweight,2018,46,20.95,24.16,9,6.5,233,d,diameter one flat,3,
Pennyweight,2018,47,23.59,23.33,10,12,400,s,length is approximate,3,
Pennyweight,2018,48,26.48,28.9,17,19.5,550,s,length is approximate,3,
Pennyweight,2018,49,43.4,21.15,11,13.7,500,s,length is approximate,3,MELALEUCA
Pennyweight,2018,50,48.09,22.07,5,6.2,101,d,goes outside plot,3,
Station_creek,2018,1,5.72,4.54,6,22.1,901,d,length includes branches,3,
Station_creek,2018,2,8.19,4.39,6.1,5,155,d,diameter 2 is flat,3,
Station_creek,2018,3,10.02,3.87,5,10.4,296,d,diameter one flat,3,
